Policy_ID,Customer_Age,Gender,Policy_Type,Annual_Income,Claim_History,Fraudulent_Claim,Premium_Amount,Claim_Amount,Risk_Score
POL000001,56.0,Female,Health,73968.8,1,0,3547.17,14048.25,Low
POL000002,69.0,Male,Health,128978.03,1,0,2306.97,3901.69,Low
POL000003,46.0,Female,Health,77282.87,3,0,926.91,1773.26,Medium
POL000004,32.0,Female,Life,65488.6,1,1,5095.42,28134.45,High
POL000005,60.0,Male,Health,59238.54,0,1,4688.19,15809.77,High
POL000006,25.0,Female,Property,115927.06,1,0,3318.62,13195.19,Low
POL000007,78.0,Male,,55496.4,5,1,6594.01,27458.08,High
POL000008,38.0,Female,Health,93381.73,0,0,995.41,1903.25,Low
POL000009,56.0,Female,Property,61020.9,0,0,4218.43,8703.97,Low
POL000010,75.0,Female,Property,63492.33,1,0,2751.19,504.01,Low
POL000011,36.0,Female,Auto,100756.24,3,0,1773.06,12693.03,Medium
POL000012,40.0,Female,Health,65499.08,1,0,3574.9,3161.02,Low
POL000013,28.0,Male,Life,64880.12,1,0,2013.24,11004.07,Low
POL000014,28.0,Female,Health,103320.12,1,0,2127.72,1684.2,Low
POL000015,41.0,Male,Health,114934.93,0,0,1749.25,7139.12,Low
POL000016,70.0,Female,Property,91117.25,1,0,2124.26,13945.54,Low
POL000017,53.0,Male,Auto,58630.76,1,0,1680.71,1209.72,Low
POL000018,57.0,Male,Health,62234.79,1,0,4920.83,4501.03,Low
POL000019,41.0,Female,Life,76997.88,1,0,1658.89,11761.13,Low
POL000020,120.0,Male,Health,83023.25,1,0,3411.77,7004.12,Low
POL000021,39.0,Female,Life,50303.35,0,0,1364.71,9789.5,Low
POL000022,70.0,Male,Property,93075.95,1,0,3005.6,12198.92,Low
POL000023,19.0,Male,Auto,77137.83,1,0,2790.19,11782.35,Low
POL000024,41.0,Female,Health,,1,0,2991.68,5991.07,Low
POL000025,61.0,Male,Auto,51776.84,1,0,2103.85,6516.29,Low
POL000026,47.0,Male,Health,62396.78,4,1,4155.76,28663.7,High
POL000027,55.0,Female,Life,73178.56,0,0,1840.46,1929.12,Low
POL000028,19.0,Male,Auto,122231.97,0,0,4421.21,13055.89,Low
POL000029,77.0,Female,Health,80954.28,1,1,4147.18,15515.04,High
POL000030,38.0,Male,Property,53980.7,0,0,3435.24,2853.74,Low
POL000031,50.0,,Life,,1,1,3909.02,23692.03,High
POL000032,29.0,Female,Auto,66197.81,0,0,2484.39,4299.4,Low
POL000033,75.0,Male,Health,83118.96,2,0,3423.46,3738.81,Medium
POL000034,39.0,Male,,89514.19,2,0,1839.24,6437.68,Medium
POL000035,78.0,Male,Health,105230.77,1,1,5337.29,11624.24,High
POL000036,61.0,Male,Life,74392.84,1,0,2286.47,5556.72,Low
POL000037,42.0,Female,Property,115974.01,0,0,1710.93,13133.4,Low
POL000038,66.0,Male,Life,97700.57,0,1,3171.97,26222.06,High
POL000039,44.0,Female,Auto,57314.01,3,1,5326.59,23083.75,High
POL000040,76.0,Female,Auto,130246.39,3,0,4240.13,1253.26,Medium
POL000041,59.0,Male,Health,83174.86,1,0,4819.94,4545.54,Low
POL000042,45.0,Female,Life,54121.89,0,0,1245.41,3073.4,Low
POL000043,77.0,Male,Health,116322.83,3,0,1513.02,6973.82,Medium
POL000044,33.0,Other,Life,126944.44,2,0,4769.86,14935.93,Medium
POL000045,32.0,Male,Auto,74174.37,0,0,1238.65,13041.26,Low
POL000046,79.0,Female,Health,62408.74,3,1,6124.27,17866.76,High
POL000047,79.0,Female,Health,70690.63,0,0,4069.68,12478.01,Low
POL000048,64.0,Male,Life,92868.29,2,1,6083.32,23460.15,High
POL000049,79.0,Female,Property,106946.42,2,0,3559.4,3472.23,Medium
POL000050,68.0,Female,Life,89262.18,0,0,1519.91,11008.45,Low
POL000051,61.0,Male,Property,77543.08,2,0,2191.63,9024.59,Medium
POL000052,72.0,Male,Life,112450.29,3,0,1216.98,3171.24,Medium
POL000053,69.0,Female,Auto,67179.09,1,0,1227.22,14513.34,Low
POL000054,74.0,Female,Health,100772.98,0,1,3962.59,26977.36,High
POL000055,20.0,Other,Life,67798.43,1,0,3527.2,12234.93,Low
POL000056,54.0,Female,Auto,85775.57,3,0,1943.25,1199.72,Medium
POL000057,68.0,Female,Life,72160.94,3,1,5020.63,8867.75,High
POL000058,24.0,Female,Health,73603.7,5,0,2067.61,6891.5,High
POL000059,38.0,Male,Life,65565.34,2,0,4616.52,1878.93,Medium
POL000060,26.0,Male,Property,108621.35,1,0,3665.34,14691.03,Low
POL000061,56.0,Female,Health,56676.85,2,0,3313.19,12199.11,Medium
POL000062,35.0,Female,Property,56494.19,3,0,3786.44,6865.71,Medium
POL000063,21.0,Male,Auto,128024.84,2,0,1705.8,14694.78,Medium
POL000064,42.0,Male,Auto,99446.19,2,1,3740.75,21210.95,High
POL000065,77.0,Female,Life,30000.0,1,0,1397.7,10216.73,Low
POL000066,31.0,Female,Property,60868.53,1,0,1121.38,361.19,Low
POL000067,67.0,Male,Property,30000.0,1,1,6072.27,20041.0,High
POL000068,75.0,Male,Health,51232.73,3,0,1669.61,1281.95,Medium
POL000069,85.0,Male,Property,30000.0,0,0,4317.64,5573.87,Low
POL000070,97.0,Male,Property,71575.26,0,1,4058.71,10213.54,High
POL000071,70.0,Male,Health,46451.45,3,0,1825.13,5690.04,Medium
POL000072,19.0,,,76497.63,3,0,4810.0,6275.03,Medium
POL000073,37.0,,,34371.97,3,0,4843.85,9291.11,Medium
POL000074,84.0,Male,Life,77072.8,1,0,4828.06,2922.45,Low
POL000075,64.0,Female,Health,64627.09,1,0,1117.41,3592.51,Low
POL000076,77.0,Female,Health,112548.82,0,0,3072.62,9716.92,Low
POL000077,24.0,Male,Property,110283.92,1,1,6688.44,15851.14,High
POL000078,61.0,Female,Property,94633.64,0,0,3589.09,2512.6,Low
POL000079,78.0,Male,Health,66834.66,1,0,3520.05,11829.93,Low
POL000080,25.0,Female,Property,124634.51,3,0,4965.47,13970.13,Medium
POL000081,64.0,Male,Health,36174.12,3,1,5390.58,25532.69,High
POL000082,52.0,Female,Life,39911.03,2,1,4566.58,9020.45,High
POL000083,31.0,Female,Life,72905.42,0,0,2497.09,12248.63,Low
POL000084,34.0,Male,Health,131350.95,2,0,1657.81,14459.91,Medium
POL000085,53.0,Male,Health,69941.53,1,0,714.86,14540.32,Low
POL000086,67.0,Female,Auto,70418.87,1,0,2221.11,13850.28,Low
POL000087,57.0,Female,Auto,38952.24,2,1,4103.02,12084.16,High
POL000088,21.0,Male,Property,98648.24,2,1,4802.0,21739.52,High
POL000089,19.0,Female,Property,98829.41,3,0,2252.42,10077.67,Medium
POL000090,79.0,Male,Health,94726.88,0,0,640.58,11474.97,Low
POL000091,23.0,Female,Health,59269.48,1,0,1718.15,1469.34,Low
POL000092,,,Auto,57332.33,0,1,6983.78,11890.38,High
POL000093,59.0,,Auto,,3,0,2539.36,10610.45,Medium
POL000094,21.0,Male,Health,77096.81,1,0,3565.38,10037.02,Low
POL000095,71.0,Male,Life,47989.82,0,0,4045.49,12077.48,Low
POL000096,46.0,Male,Life,45564.59,0,0,4936.13,2850.22,Low
POL000097,35.0,Male,Property,64407.73,1,0,4344.02,14056.53,Low
POL000098,43.0,Female,Health,62771.1,2,0,2559.26,3651.5,Medium
POL000099,61.0,Male,Health,61550.54,0,1,4368.31,11438.98,High
POL000100,51.0,Female,Property,86661.11,3,0,3487.98,4932.6,Medium
POL000101,27.0,Male,Auto,76976.2,1,0,2400.72,12147.6,Low
POL000102,79.0,Male,Auto,67796.1,3,0,2325.17,520.76,Medium
POL000103,53.0,Male,Life,79575.32,1,0,2019.87,3479.78,Low
POL000104,31.0,Male,Health,50211.82,0,0,1259.83,14338.45,Low
POL000105,48.0,Male,Auto,77631.97,3,1,5381.33,13164.08,High
POL000106,65.0,Male,Life,78765.06,2,0,4185.01,4246.04,Medium
POL000107,32.0,Female,Life,37423.83,1,1,4874.21,22577.05,High
POL000108,25.0,Male,Life,99892.34,2,0,3649.27,13866.28,Medium
POL000109,31.0,Female,Auto,52964.16,2,0,3770.43,12783.01,Medium
POL000110,40.0,Female,Auto,77257.74,3,0,1883.07,6955.32,Medium
POL000111,77.0,Male,Health,104110.29,1,0,3003.03,4831.6,Low
POL000112,74.0,Male,Health,98141.92,1,0,3701.09,14171.97,Low
POL000113,79.0,Other,Life,75858.33,0,0,1105.01,2905.68,Low
POL000114,57.0,Female,Life,65937.52,2,0,1262.09,7204.63,Medium
POL000115,,Female,Auto,98687.8,4,0,3729.01,6334.73,High
POL000116,33.0,Male,Auto,91867.37,1,0,1759.39,14034.55,Low
POL000117,62.0,Female,Health,59540.87,3,0,982.37,11361.58,Medium
POL000118,35.0,Female,Health,55127.66,1,0,2841.09,7004.31,Low
POL000119,64.0,Female,Property,30000.0,1,1,4564.52,19053.23,High
POL000120,70.0,Other,Health,78850.8,2,0,1877.74,13622.07,Medium
POL000121,41.0,Male,Auto,72932.56,2,0,1672.39,12485.31,Medium
POL000122,43.0,Male,Life,103404.78,0,0,1434.96,9270.26,Low
POL000123,42.0,Female,Property,83976.38,3,0,2645.09,13738.25,Medium
POL000124,77.0,Female,Health,108355.73,1,0,3077.43,5766.28,Low
POL000125,77.0,Male,Health,57565.89,3,0,1105.55,11024.39,Medium
POL000126,77.0,Male,Auto,103453.76,3,0,4106.45,340.12,Medium
POL000127,62.0,Male,Property,61777.09,2,0,2885.33,8786.31,Medium
POL000128,58.0,Male,Health,,2,0,3032.43,2140.99,Medium
POL000129,46.0,Female,Life,38531.04,1,0,1029.01,7912.08,Low
POL000130,32.0,Female,Auto,80878.38,2,0,3304.6,3773.02,Medium
POL000131,62.0,Male,Property,30000.0,2,0,3552.44,5772.18,Medium
POL000132,18.0,Male,Health,68321.56,2,0,2317.17,11903.25,Medium
POL000133,42.0,Male,Health,86008.85,1,0,3196.46,973.21,Low
POL000134,24.0,Male,Property,61975.79,1,0,1550.38,8107.28,Low
POL000135,26.0,Female,Auto,48739.06,2,0,3376.77,2258.62,Medium
POL000136,41.0,Other,Property,96152.96,1,1,4977.88,28887.44,High
POL000137,18.0,Female,Property,72413.43,4,0,3122.6,9540.54,High
POL000138,61.0,Male,Auto,62760.73,2,0,1632.66,2813.08,Medium
POL000139,25.0,Female,Health,76047.4,3,1,5621.82,16584.72,High
POL000140,87.0,Female,Life,140916.73,1,0,4216.83,1373.25,Low
POL000141,28.0,Female,Auto,103837.57,0,0,971.38,10375.23,Low
POL000142,68.0,Male,Life,104064.34,2,0,4404.32,5763.47,Medium
POL000143,34.0,Male,Health,85888.66,1,0,3991.52,5656.14,Low
POL000144,25.0,Male,Property,79162.13,3,0,2989.59,10409.17,Medium
POL000145,52.0,Male,Life,30000.0,3,0,747.95,7507.27,Medium
POL000146,52.0,Male,Health,58025.49,0,1,3464.81,12771.27,High
POL000147,50.0,Male,Health,62985.64,0,1,3348.12,21453.24,High
POL000148,76.0,Female,Property,30000.0,0,0,1505.58,7652.28,Low
POL000149,22.0,Female,Property,46064.61,5,1,4984.02,12716.38,High
POL000150,59.0,Male,Health,30000.0,4,1,3133.37,15426.21,High
POL000151,56.0,Male,Health,74041.9,3,0,3111.15,8067.01,Medium
POL000152,75.0,Female,Life,95469.15,1,0,2527.51,10000.06,Low
POL000153,58.0,Female,Health,102669.36,1,0,4453.11,12531.75,Low
POL000154,45.0,Female,Health,85369.61,2,0,2754.36,12136.68,Medium
POL000155,24.0,Other,Life,50915.09,1,0,1750.99,953.32,Low
POL000156,26.0,Female,Auto,30000.0,0,0,3749.65,14281.63,Low
POL000157,25.0,Other,Life,31078.28,1,1,6867.7,12837.16,High
POL000158,29.0,Male,Life,43275.44,1,0,4705.94,14561.98,Low
POL000159,51.0,Male,Property,52778.51,0,0,3857.99,2991.78,Low
POL000160,50.0,Male,Life,71006.29,2,0,723.16,8092.48,Medium
POL000161,65.0,Male,Health,49645.89,3,0,4230.85,6654.41,Medium
POL000162,72.0,Male,Health,83474.4,2,0,2670.46,5716.67,Medium
POL000163,40.0,Female,Health,69193.16,6,1,5065.24,25483.52,High
POL000164,79.0,Female,Auto,75263.64,2,0,4903.14,13563.95,Medium
POL000165,41.0,Female,Health,103506.26,2,0,3425.18,10506.84,Medium
POL000166,54.0,Male,Auto,45494.21,5,1,5728.86,27907.36,High
POL000167,52.0,Female,Health,85467.61,2,0,1299.5,5745.29,Medium
POL000168,61.0,Female,Life,74650.67,1,0,3993.96,7080.97,Low
POL000169,57.0,Male,Property,66662.84,1,0,3184.29,5567.26,Low
POL000170,39.0,,,97131.41,2,0,2238.47,3230.09,Medium
POL000171,44.0,Male,Auto,96975.35,0,1,6993.38,23778.24,High
POL000172,52.0,Male,Auto,51337.73,3,1,3323.08,25410.27,High
POL000173,18.0,Female,Property,70445.99,3,0,2903.4,12830.86,Medium
POL000174,52.0,Male,,82030.29,1,0,3798.67,12390.56,Low
POL000175,54.0,Male,Life,68174.83,1,0,2461.75,13389.62,Low
POL000176,64.0,Female,Health,89625.53,3,0,2266.42,6744.07,Medium
POL000177,31.0,Female,Health,82029.8,3,0,538.52,9803.32,Medium
POL000178,20.0,Male,Property,120814.03,1,0,4771.86,12168.9,Low
POL000179,18.0,Male,Health,36743.02,1,1,4892.3,13667.14,High
POL000180,22.0,Male,Life,71939.1,3,0,4981.5,9537.43,Medium
POL000181,43.0,Female,Auto,52287.44,3,0,4641.5,6629.66,Medium
POL000182,72.0,Male,Property,90102.69,0,0,4383.43,5668.29,Low
POL000183,31.0,Male,Life,34570.7,1,0,761.37,12906.16,Low
POL000184,56.0,Female,Auto,83657.82,3,0,3270.25,9398.76,Medium
POL000185,44.0,Female,Property,59248.79,1,0,1514.1,9388.59,Low
POL000186,26.0,Male,Property,56645.95,3,0,4466.95,2437.27,Medium
